k = 1, l = 10, w_size = 5, step = 2
pigeon, start, score
Bladon & Church route recapping/bladon heath/a55, 0, 94.3614
Bladon & Church route recapping/bladon heath/a55, 2, 76.2972
Bladon & Church route recapping/bladon heath/a55, 4, 38.9588
Bladon & Church route recapping/bladon heath/a55, 6, 5.01244
Bladon & Church route recapping/bladon heath/a55, 8, 5.29965
Bladon & Church route recapping/bladon heath/a55, 10, 3.32705
Bladon & Church route recapping/bladon heath/a55, 12, 3.48992
Bladon & Church route recapping/bladon heath/a55, 14, 3.59359
Bladon & Church route recapping/bladon heath/a55, 16, 2.95472
Bladon & Church route recapping/bladon heath/a55, 18, 2.57705
Bladon & Church route recapping/bladon heath/brc, 0, 337.489
Bladon & Church route recapping/bladon heath/brc, 2, 110.751
Bladon & Church route recapping/bladon heath/brc, 4, 101.475
Bladon & Church route recapping/bladon heath/brc, 6, 10.3754
Bladon & Church route recapping/bladon heath/brc, 8, 8.51466
Bladon & Church route recapping/bladon heath/brc, 10, 8.21556
Bladon & Church route recapping/bladon heath/brc, 12, 8.27591
Bladon & Church route recapping/bladon heath/brc, 14, 3.2358
Bladon & Church route recapping/bladon heath/brc, 16, 2.78975
Bladon & Church route recapping/bladon heath/brc, 18, 2.27924
Bladon & Church route recapping/bladon heath/c17, 0, 87.6092
Bladon & Church route recapping/bladon heath/c17, 2, 56.1902
Bladon & Church route recapping/bladon heath/c17, 4, 10.0058
Bladon & Church route recapping/bladon heath/c17, 6, 7.87151
Bladon & Church route recapping/bladon heath/c17, 8, 2.73199
Bladon & Church route recapping/bladon heath/c17, 10, 17.1855
Bladon & Church route recapping/bladon heath/c17, 12, 19.6199
Bladon & Church route recapping/bladon heath/c17, 14, 3.50107
Bladon & Church route recapping/bladon heath/c17, 16, 3.26998
Bladon & Church route recapping/bladon heath/c17, 18, 3.48473
Bladon & Church route recapping/bladon heath/c35, 0, 11.8405
Bladon & Church route recapping/bladon heath/c35, 2, 29.0699
Bladon & Church route recapping/bladon heath/c35, 4, 25.5418
Bladon & Church route recapping/bladon heath/c35, 6, 6.93829
Bladon & Church route recapping/bladon heath/c35, 8, 6.99274
Bladon & Church route recapping/bladon heath/c35, 10, 18.3735
Bladon & Church route recapping/bladon heath/c35, 12, 18.1509
Bladon & Church route recapping/bladon heath/c35, 14, 5.43637
Bladon & Church route recapping/bladon heath/c35, 16, 9.01006
Bladon & Church route recapping/bladon heath/c35, 18, 10.9886
Bladon & Church route recapping/bladon heath/p29, 0, 45.785
Bladon & Church route recapping/bladon heath/p29, 2, 19.8311
Bladon & Church route recapping/bladon heath/p29, 4, 8.4907
Bladon & Church route recapping/bladon heath/p29, 6, 8.15851
Bladon & Church route recapping/bladon heath/p29, 8, 9.08625
Bladon & Church route recapping/bladon heath/p29, 10, 2.96749
Bladon & Church route recapping/bladon heath/p29, 12, 2.28374
Bladon & Church route recapping/bladon heath/p29, 14, 3.17321
Bladon & Church route recapping/bladon heath/p29, 16, 3.6101
Bladon & Church route recapping/bladon heath/p29, 18, 3.79579
Bladon & Church route recapping/bladon heath/p39, 0, 3.59132
Bladon & Church route recapping/bladon heath/p39, 2, 4.14073
Bladon & Church route recapping/bladon heath/p39, 4, 2.39682
Bladon & Church route recapping/bladon heath/p39, 6, 2.34203
Bladon & Church route recapping/bladon heath/p39, 8, 2.52007
Bladon & Church route recapping/bladon heath/p39, 10, 2.36852
Bladon & Church route recapping/bladon heath/p39, 12, 2.18856
Bladon & Church route recapping/bladon heath/p39, 14, 3.06367
Bladon & Church route recapping/bladon heath/p39, 16, 3.13001
Bladon & Church route recapping/bladon heath/p39, 18, 3.14335
Bladon & Church route recapping/bladon heath/p94, 0, 37.576
Bladon & Church route recapping/bladon heath/p94, 2, 18.0972
Bladon & Church route recapping/bladon heath/p94, 4, 8.68484
Bladon & Church route recapping/bladon heath/p94, 6, 12.6193
Bladon & Church route recapping/bladon heath/p94, 8, 7.34862
Bladon & Church route recapping/bladon heath/p94, 10, 2.89565
Bladon & Church route recapping/bladon heath/p94, 12, 3.33367
Bladon & Church route recapping/bladon heath/p94, 14, 3.12177
Bladon & Church route recapping/bladon heath/p94, 16, 2.13077
Bladon & Church route recapping/bladon heath/p94, 18, 2.64183
Bladon & Church route recapping/church hanborough/a94, 0, 68.7221
Bladon & Church route recapping/church hanborough/a94, 2, 75.4236
Bladon & Church route recapping/church hanborough/a94, 4, 66.3642
Bladon & Church route recapping/church hanborough/a94, 6, 14.0134
Bladon & Church route recapping/church hanborough/a94, 8, 3.35061
Bladon & Church route recapping/church hanborough/a94, 10, 2.69624
Bladon & Church route recapping/church hanborough/a94, 12, 2.3624
Bladon & Church route recapping/church hanborough/a94, 14, 2.39335
Bladon & Church route recapping/church hanborough/c22, 0, 71.2623
Bladon & Church route recapping/church hanborough/c22, 2, 4.28223
Bladon & Church route recapping/church hanborough/c22, 4, 4.13912
Bladon & Church route recapping/church hanborough/c22, 6, 4.36881
Bladon & Church route recapping/church hanborough/c22, 8, 2.76334
Bladon & Church route recapping/church hanborough/c22, 10, 2.84155
Bladon & Church route recapping/church hanborough/c22, 12, 2.40305
Bladon & Church route recapping/church hanborough/c22, 14, 2.04325
Bladon & Church route recapping/church hanborough/c70, 0, 60.1736
Bladon & Church route recapping/church hanborough/c70, 2, 37.6377
Bladon & Church route recapping/church hanborough/c70, 4, 38.5577
Bladon & Church route recapping/church hanborough/c70, 6, 6.97856
Bladon & Church route recapping/church hanborough/c70, 8, 5.4343
Bladon & Church route recapping/church hanborough/c70, 10, 5.85322
Bladon & Church route recapping/church hanborough/c70, 12, 5.48168
Bladon & Church route recapping/church hanborough/c70, 14, 3.63344
Bladon & Church route recapping/church hanborough/k77, 0, 89.2067
Bladon & Church route recapping/church hanborough/k77, 2, 84.0738
Bladon & Church route recapping/church hanborough/k77, 4, 44.4087
Bladon & Church route recapping/church hanborough/k77, 6, 4.94571
Bladon & Church route recapping/church hanborough/k77, 8, 3.8078
Bladon & Church route recapping/church hanborough/k77, 10, 3.60776
Bladon & Church route recapping/church hanborough/k77, 12, 2.42596
Bladon & Church route recapping/church hanborough/k77, 14, 2.13447
Bladon & Church route recapping/church hanborough/l29, 0, 853.042
Bladon & Church route recapping/church hanborough/l29, 2, 1748.02
Bladon & Church route recapping/church hanborough/l29, 4, 13.2161
Bladon & Church route recapping/church hanborough/l29, 6, 2.80988
Bladon & Church route recapping/church hanborough/l29, 8, 3.78884
Bladon & Church route recapping/church hanborough/l29, 10, 3.45107
Bladon & Church route recapping/church hanborough/l29, 12, 2.3788
Bladon & Church route recapping/church hanborough/l29, 14, 2.73808
Bladon & Church route recapping/church hanborough/liv, 0, 50.9438
Bladon & Church route recapping/church hanborough/liv, 2, 10.3051
Bladon & Church route recapping/church hanborough/liv, 4, 5.87302
Bladon & Church route recapping/church hanborough/liv, 6, 4.71748
Bladon & Church route recapping/church hanborough/liv, 8, 3.45069
Bladon & Church route recapping/church hanborough/liv, 10, 3.05257
Bladon & Church route recapping/church hanborough/liv, 12, 2.71869
Bladon & Church route recapping/church hanborough/liv, 14, 2.1816
Bladon & Church route recapping/church hanborough/r47, 0, 1369.09
Bladon & Church route recapping/church hanborough/r47, 2, 46.769
Bladon & Church route recapping/church hanborough/r47, 4, 5.11279
Bladon & Church route recapping/church hanborough/r47, 6, 4.52384
Bladon & Church route recapping/church hanborough/r47, 8, 3.06706
Bladon & Church route recapping/church hanborough/r47, 10, 2.10547
Bladon & Church route recapping/church hanborough/r47, 12, 2.49678
Bladon & Church route recapping/church hanborough/r47, 14, 2.60738
Bladon & Church route recapping/church hanborough/s93, 0, 151.2
Bladon & Church route recapping/church hanborough/s93, 2, 67.6295
Bladon & Church route recapping/church hanborough/s93, 4, 14.7853
Bladon & Church route recapping/church hanborough/s93, 6, 4.27957
Bladon & Church route recapping/church hanborough/s93, 8, 5.31579
Bladon & Church route recapping/church hanborough/s93, 10, 4.64638
Bladon & Church route recapping/church hanborough/s93, 12, 2.98483
Bladon & Church route recapping/church hanborough/s93, 14, 4.35346
Horspath/H22, 0, 30.9544
Horspath/H22, 2, 28.0493
Horspath/H22, 4, 11.6856
Horspath/H22, 6, 12.0203
Horspath/H22, 8, 11.6161
Horspath/H22, 10, 6.82434
Horspath/H22, 12, 8.0161
Horspath/H22, 14, 8.81636
Horspath/H22, 16, 10.5638
Horspath/H22, 18, 19.6506
Horspath/H22, 20, 30.363
Horspath/H22, 22, 24.4895
Horspath/H22, 24, 10.4424
Horspath/H22, 26, 3744
Horspath/H22, 28, 4039.78
Horspath/H22, 30, 3766.75
Horspath/H22, 32, 9.40578
Horspath/H22, 34, 8.89615
Horspath/H27, 0, 2141.86
Horspath/H27, 2, 208.193
Horspath/H27, 4, 210.323
Horspath/H27, 6, 207.273
Horspath/H27, 8, 7.88511
Horspath/H27, 10, 5.60905
Horspath/H27, 12, 6.7726
Horspath/H27, 14, 4.44067
Horspath/H27, 16, 5.28563
Horspath/H27, 18, 1699.27
Horspath/H27, 20, 1452.89
Horspath/H27, 22, 57.0977
Horspath/H27, 24, 56.6275
Horspath/H27, 26, 53.0391
Horspath/H27, 28, 6.91933
Horspath/H27, 30, 5.8288
Horspath/H27, 32, 5.98343
Horspath/H27, 34, 5.50977
Horspath/H27, 36, 6.46027
Horspath/H30, 0, 13.3072
Horspath/H30, 2, 11.4695
Horspath/H30, 4, 8.55642
